,is_max,iteration,n_solutions,num,p1_action,p1_prior,p1_strength,p2_action,p2_prior,p2_strength,p3_action,p3_prior,p3_strength,payoff,trees
0,True,1,3,1,tree,0.566666666667,3,fish,0.466666666667,3,fish,0.466666666667,3,6,1
1,True,1,2,2,tree,0.600515021459,2,fish,0.466666666667,3,tree,0.529739130435,2,3,2
2,True,1,1,3,fish,0.600515021459,3,fish,0.466666666667,1,tree,0.529739130435,2,4,2
3,False,1,2,4,fish,0.528428561036,2,fish,0.432921568337,2,fish,0.529739130435,1,0,2
4,False,1,2,4,fish,0.46623869072,2,fish,0.398706374874,2,fish,0.529739130435,1,0,2
5,True,1,2,4,tree,0.512735538362,2,tree,0.465224388704,2,fish,0.529739130435,1,1,2
6,True,1,3,5,fish,0.477059442898,2,fish,0.439443867976,2,tree,0.589974572425,2,4,2
7,True,1,1,6,tree,0.477059442898,2,fish,0.439443867976,3,fish,0.589974572425,1,4,2
8,True,1,1,7,tree,0.477059442898,1,fish,0.439443867976,3,fish,0.589974572425,3,6,1
9,True,1,3,8,tree,0.549818418113,2,fish,0.418721421666,2,fish,0.535007841201,2,4,1
10,False,1,2,9,fish,0.482384025843,3,fish,0.388903547345,3,fish,0.535007841201,1,0,2
11,True,1,2,9,tree,0.524672623025,3,fish,0.358609908248,3,fish,0.535007841201,1,4,2
12,True,1,2,10,tree,0.556127373773,2,fish,0.336539637193,2,fish,0.535007841201,3,5,1
13,True,1,3,11,tree,0.607491680919,3,fish,0.326869458851,3,tree,0.592081963289,3,3,3
14,True,1,1,12,tree,0.607491680919,1,tree,0.326869458851,1,fish,0.592081963289,3,3,2
15,True,1,1,13,tree,0.607491680919,2,fish,0.326869458851,3,fish,0.592081963289,3,6,1
16,True,1,3,14,tree,0.620678542326,2,tree,0.402925861426,2,fish,0.507007902673,2,2,3
17,False,1,2,15,fish,0.548429973184,2,fish,0.402925861426,1,fish,0.467747094754,2,0,2
18,True,1,2,15,fish,0.48576550099,2,fish,0.402925861426,1,tree,0.528875459019,2,3,2
19,True,1,3,16,tree,0.552589958936,3,fish,0.384873170319,3,tree,0.585113762704,3,3,2
20,True,1,1,17,fish,0.552589958936,3,fish,0.384873170319,3,tree,0.585113762704,2,6,2
21,False,1,2,18,fish,0.552589958936,3,fish,0.363145901489,2,fish,0.509043809451,2,0,1
22,True,1,2,18,fish,0.552589958936,3,fish,0.339272830535,2,tree,0.54370208505,2,5,1
23,True,1,1,19,fish,0.552589958936,3,tree,0.339272830535,1,fish,0.54370208505,2,5,1
24,True,1,3,20,tree,0.571634049839,1,fish,0.308970934287,1,tree,0.564049750617,1,1,2
25,True,1,2,21,fish,0.571634049839,3,tree,0.395587619291,2,fish,0.485128862649,2,5,2
26,False,1,3,22,fish,0.518909685781,1,fish,0.379751730108,1,fish,0.454267572521,1,0,1
27,True,1,3,22,fish,0.474301700349,1,fish,0.363352755977,1,tree,0.525200477517,1,2,1
28,True,1,2,23,fish,0.43190856046,3,fish,0.363352755977,2,tree,0.56764238108,3,5,3
29,True,1,1,24,fish,0.43190856046,1,tree,0.363352755977,2,fish,0.56764238108,3,4,2
30,False,2,2,1,tree,0.55,3,tree,0.55,1,tree,0.55,2,0,3
31,True,2,2,1,tree,0.6,3,fish,0.490099009901,1,tree,0.590099009901,2,1,3
32,True,2,1,2,fish,0.6,1,tree,0.490099009901,2,fish,0.590099009901,3,4,2
33,False,2,3,3,fish,0.551621003588,1,fish,0.466186759824,1,fish,0.544385597507,1,0,1
34,True,2,3,3,fish,0.509363490503,1,fish,0.442261653946,1,tree,0.603956420465,1,2,1
35,True,2,1,4,fish,0.509363490503,2,fish,0.442261653946,3,tree,0.603956420465,1,5,1
36,False,2,2,5,tree,0.509363490503,2,fish,0.413067111611,1,fish,0.529383858046,1,0,3
37,True,2,2,5,tree,0.509363490503,2,fish,0.382496515588,1,tree,0.565124418305,1,1,3
38,False,2,3,6,fish,0.473397769872,2,fish,0.368397472591,2,fish,0.514659295315,2,0,2
39,True,2,3,6,tree,0.540436960803,2,fish,0.353603106416,2,tree,0.571521883259,2,2,2
40,True,2,1,7,fish,0.540436960803,2,tree,0.353603106416,1,fish,0.571521883259,3,5,1
41,True,2,3,8,fish,0.498065314116,3,fish,0.342950132014,3,tree,0.620720719692,3,6,3
42,False,2,2,9,fish,0.498065314116,1,fish,0.328679089433,3,fish,0.53703002826,3,0,2
43,True,2,2,9,fish,0.498065314116,1,fish,0.311553075867,3,tree,0.563709444425,3,4,2
44,True,2,3,10,tree,0.561987772192,2,fish,0.303325458019,2,tree,0.610104080366,2,2,1
45,True,2,1,11,fish,0.561987772192,3,tree,0.303325458019,1,fish,0.610104080366,3,6,1
46,True,2,2,12,fish,0.510720124053,2,fish,0.303325458019,3,tree,0.644487223547,2,5,1
47,True,2,3,13,fish,0.435089480284,1,tree,0.381075385329,1,tree,0.653036754739,1,1,2
48,True,2,1,14,tree,0.435089480284,2,fish,0.381075385329,1,fish,0.653036754739,3,4,2
49,True,2,2,15,fish,0.411125327626,2,tree,0.381075385329,1,tree,0.670895533871,2,2,3
50,True,2,3,16,tree,0.495610690476,3,fish,0.368908562117,3,fish,0.594916924042,3,6,1
51,False,2,2,17,fish,0.467849670779,1,fish,0.350300649838,2,fish,0.515946910863,3,0,3
52,False,2,2,17,fish,0.439741154443,1,tree,0.430959976638,2,fish,0.445386778329,3,0,3
53,True,2,2,17,fish,0.402992921167,1,fish,0.395038083758,2,tree,0.493350595736,3,3,3
54,True,2,1,18,fish,0.402992921167,3,tree,0.395038083758,2,fish,0.493350595736,3,6,1
55,False,2,2,19,fish,0.402992921167,2,fish,0.364584008037,3,fish,0.434132590416,3,0,3
56,True,2,2,19,fish,0.402992921167,2,fish,0.334557501941,3,tree,0.483495042554,3,5,3
57,True,2,1,20,fish,0.402992921167,3,tree,0.334557501941,2,fish,0.483495042554,3,6,2
58,True,2,3,21,tree,0.478941522018,3,fish,0.320996156355,3,fish,0.440834637815,3,6,2
59,True,2,2,22,fish,0.478941522018,1,fish,0.298909435923,3,tree,0.48403584059,3,4,3
60,True,2,3,23,fish,0.404699763947,2,tree,0.370773173697,2,tree,0.508901242526,2,2,3
61,True,2,1,24,fish,0.404699763947,1,fish,0.370773173697,3,tree,0.508901242526,2,4,2
62,True,3,1,1,tree,0.5,1,fish,0.5,2,fish,0.5,2,4,1
63,True,3,2,2,tree,0.55,3,fish,0.5,2,fish,0.45,3,5,3
64,True,3,3,3,tree,0.573150206415,2,tree,0.532890365449,2,fish,0.395103354795,2,2,3
65,False,3,2,4,tree,0.597252248243,2,fish,0.460097686445,1,fish,0.373319172915,3,0,3
66,True,3,2,4,tree,0.621372235931,2,tree,0.495712224339,1,fish,0.351394936167,3,3,3
67,False,3,3,5,fish,0.557520999548,1,fish,0.465028581534,1,fish,0.341334873542,1,0,1
68,True,3,3,5,tree,0.604157971899,1,fish,0.435207654459,1,tree,0.430134881353,1,1,1
69,True,3,1,6,fish,0.604157971899,2,tree,0.435207654459,3,fish,0.430134881353,2,4,3
70,False,3,3,7,fish,0.543728118636,2,fish,0.41455368031,2,fish,0.410259931218,2,0,1
71,False,3,3,7,fish,0.493438971572,2,fish,0.393563400525,2,fish,0.389957799419,2,0,1
72,True,3,3,7,fish,0.451023560895,2,tree,0.472861921399,2,fish,0.369845660546,2,4,1
73,True,3,1,8,fish,0.451023560895,3,tree,0.472861921399,2,fish,0.369845660546,3,6,2
74,True,3,2,9,fish,0.451023560895,1,tree,0.515037721026,3,fish,0.342099718168,3,4,3
75,True,3,1,10,fish,0.451023560895,3,tree,0.515037721026,1,fish,0.342099718168,3,6,1
76,False,3,2,11,fish,0.394538319908,1,tree,0.515037721026,2,fish,0.317338091914,1,0,3
77,True,3,2,11,tree,0.446799726596,1,tree,0.515037721026,2,fish,0.292435028965,1,1,3
78,False,3,3,12,fish,0.416140299269,3,fish,0.467019195367,3,fish,0.284063772145,3,0,3
79,True,3,3,12,tree,0.4876172546,3,fish,0.426120407178,3,fish,0.275049366178,3,6,3
80,True,3,1,13,fish,0.4876172546,3,tree,0.426120407178,2,fish,0.275049366178,1,4,2
81,True,3,2,14,tree,0.52368619733,1,fish,0.368085255971,2,tree,0.358125985488,3,2,3
82,True,3,3,15,fish,0.472230956971,3,fish,0.351092299484,3,tree,0.442508475467,3,6,2
83,True,3,1,16,fish,0.472230956971,2,tree,0.351092299484,1,fish,0.442508475467,3,5,1
84,False,3,3,17,fish,0.434738863576,2,fish,0.336316988625,2,fish,0.412010828418,2,0,2
85,True,3,3,17,tree,0.501858464009,2,fish,0.321444422731,2,fish,0.384221192381,2,4,2
86,False,3,2,18,tree,0.544650524797,2,fish,0.295136941603,3,fish,0.338926309931,1,0,3
87,False,3,2,18,fish,0.480990468953,2,fish,0.272903685751,3,fish,0.296040754373,1,0,3
88,False,3,2,18,fish,0.431951173301,2,fish,0.246353817392,3,tree,0.365646244463,1,0,3
89,False,3,2,18,tree,0.481465585408,2,fish,0.226753637057,3,fish,0.32205139601,1,0,3
90,True,3,2,18,tree,0.523191625033,2,fish,0.210438095871,3,tree,0.38037710916,1,3,3
91,True,3,1,19,tree,0.523191625033,2,fish,0.210438095871,3,fish,0.38037710916,3,6,2
92,False,3,3,20,fish,0.46542906459,3,fish,0.206452253361,3,fish,0.358726989484,3,0,1
93,True,3,3,20,tree,0.517378677211,3,tree,0.301933111398,3,fish,0.3370524217,3,3,1
94,True,3,2,21,tree,0.548049737063,1,fish,0.301933111398,2,tree,0.417624762111,1,2,1
95,True,3,1,22,tree,0.548049737063,3,fish,0.301933111398,2,fish,0.417624762111,2,4,3
96,True,3,3,23,tree,0.563552873815,1,fish,0.272596605787,1,tree,0.455895085152,1,1,2
