,is_max,iteration,n_solutions,num,p1_action,p1_prior,p1_strength,p2_action,p2_prior,p2_strength,p3_action,p3_prior,p3_strength,payoff,trees
0,True,1,3,1,fish,0.466666666667,1,fish,0.466666666667,1,tree,0.566666666667,1,2,1
1,True,1,1,2,tree,0.466666666667,1,fish,0.466666666667,2,fish,0.566666666667,3,5,1
2,True,1,2,3,tree,0.52,3,tree,0.52,3,fish,0.566666666667,2,2,3
3,True,1,2,4,fish,0.503395890417,1,tree,0.52,2,tree,0.578988982497,1,1,3
4,True,1,1,5,tree,0.503395890417,1,fish,0.52,2,fish,0.578988982497,2,4,1
5,True,1,3,6,fish,0.492844876888,2,tree,0.603736751496,2,tree,0.599023667097,2,2,2
6,True,1,2,7,fish,0.490858536271,3,fish,0.603736751496,1,tree,0.600400406695,3,4,3
7,True,1,3,8,fish,0.482384230384,2,tree,0.606545925913,2,tree,0.603471592519,2,2,3
8,True,1,1,9,fish,0.482384230384,1,tree,0.606545925913,2,fish,0.603471592519,3,4,2
9,True,1,3,10,fish,0.479777634201,2,fish,0.545060626033,2,tree,0.64668662872,2,4,1
10,True,1,1,11,tree,0.479777634201,2,fish,0.545060626033,3,fish,0.64668662872,1,4,2
11,True,1,2,12,tree,0.48022524924,1,fish,0.544566266443,2,tree,0.646912669802,1,2,2
12,True,1,2,13,fish,0.471908418268,2,tree,0.552154491757,2,fish,0.646912669802,3,5,1
13,True,1,1,14,tree,0.471908418268,1,tree,0.552154491757,1,fish,0.646912669802,3,3,2
14,False,1,3,15,fish,0.471032885672,3,fish,0.545809220651,3,fish,0.550387633706,3,0,3
15,True,1,3,15,fish,0.464386571252,3,fish,0.497908017528,3,tree,0.596091508028,3,6,3
16,True,1,1,16,fish,0.464386571252,3,tree,0.497908017528,1,fish,0.596091508028,2,5,1
17,True,1,3,17,fish,0.461938594394,3,fish,0.492197139593,3,tree,0.602062776101,3,6,1
18,True,1,2,18,fish,0.461932573895,2,fish,0.492190342541,1,tree,0.602067411198,3,3,3
19,True,1,2,19,fish,0.461411822014,1,fish,0.492190342541,3,tree,0.602468808178,1,4,1
20,True,1,3,20,fish,0.433992236809,1,tree,0.52107198334,1,tree,0.604037369453,1,1,2
21,True,1,1,21,tree,0.433992236809,2,fish,0.52107198334,1,fish,0.604037369453,3,4,2
22,True,1,3,22,fish,0.433050146195,3,tree,0.612720807763,3,tree,0.610093123421,3,3,2
23,True,1,1,23,fish,0.433050146195,3,tree,0.612720807763,2,fish,0.610093123421,1,4,2
24,True,1,2,24,fish,0.433050146195,2,fish,0.549114848218,3,tree,0.651475869352,3,5,3
25,False,2,2,1,fish,0.45,2,tree,0.55,1,fish,0.45,3,0,3
26,True,2,2,1,tree,0.454697344025,2,tree,0.553194102356,1,fish,0.446805897644,3,3,3
27,True,2,3,2,fish,0.449509751351,3,tree,0.562556053937,3,fish,0.442579409608,3,6,2
28,True,2,1,3,fish,0.449509751351,3,tree,0.562556053937,2,fish,0.442579409608,3,6,1
29,True,2,1,4,fish,0.449509751351,3,tree,0.562556053937,1,tree,0.442579409608,1,3,2
30,True,2,2,5,fish,0.447275245802,3,tree,0.564686212067,2,tree,0.445984679848,1,3,3
31,True,2,3,6,fish,0.444186800396,3,tree,0.570548501769,3,fish,0.442996510946,3,6,1
32,True,2,2,7,fish,0.444186198604,1,tree,0.57054906857,3,fish,0.44299591205,2,3,3
33,True,2,3,8,fish,0.441807565809,2,tree,0.575011866969,2,fish,0.440688048343,2,4,2
34,True,2,1,9,fish,0.441807565809,3,fish,0.575011866969,1,tree,0.440688048343,2,4,2
35,True,2,1,10,tree,0.441807565809,1,tree,0.575011866969,1,fish,0.440688048343,3,3,2
36,True,2,3,11,fish,0.395701932842,2,tree,0.576690121591,2,tree,0.496308609617,2,2,3
37,True,2,2,12,fish,0.394073559503,3,fish,0.576690121591,2,tree,0.498809982192,3,5,3
38,True,2,2,13,tree,0.394073559503,2,tree,0.58085937501,1,fish,0.493239678818,1,1,3
39,True,2,3,14,fish,0.39353197717,3,tree,0.586458511217,3,fish,0.486643198336,3,6,3
40,True,2,1,15,tree,0.39353197717,2,fish,0.586458511217,3,fish,0.486643198336,3,6,1
41,True,2,1,16,fish,0.39353197717,1,fish,0.586458511217,3,tree,0.486643198336,2,4,2
42,True,2,2,17,fish,0.391435937811,2,fish,0.586458511217,3,tree,0.490006589625,2,5,2
43,True,2,3,18,fish,0.38784359368,1,tree,0.586918884673,1,tree,0.495017775868,1,1,2
44,True,2,3,19,fish,0.387451712622,1,tree,0.591562942469,1,fish,0.489271856105,1,2,1
45,True,2,2,20,fish,0.387451656895,2,tree,0.591563003298,3,fish,0.489271771703,1,3,3
46,True,2,1,21,fish,0.387451656895,3,tree,0.591563003298,2,fish,0.489271771703,1,4,2
47,True,2,2,22,fish,0.385965629951,3,fish,0.591563003298,1,tree,0.491700687883,3,4,3
48,False,2,3,23,fish,0.385643811563,2,fish,0.495170414081,2,fish,0.487214468869,2,0,1
49,True,2,3,23,fish,0.383150277999,2,tree,0.542169039621,2,fish,0.44585711786,2,4,1
50,True,2,1,24,tree,0.383150277999,1,fish,0.542169039621,3,tree,0.44585711786,1,3,2
51,True,3,2,1,fish,0.5,3,fish,0.45,2,tree,0.55,2,5,2
52,True,3,1,2,fish,0.5,3,tree,0.45,2,fish,0.55,3,6,1
53,True,3,3,3,fish,0.481171289229,2,fish,0.44496214189,2,tree,0.571354880897,2,4,1
54,True,3,2,4,fish,0.481171289229,2,fish,0.44414337265,1,tree,0.572121502911,1,3,1
55,False,3,3,5,tree,0.507371733085,2,tree,0.520445342479,2,tree,0.574549741907,2,0,3
56,True,3,3,5,fish,0.459429209433,2,tree,0.55558511793,2,tree,0.582292822508,2,2,3
57,True,3,1,6,fish,0.459429209433,2,tree,0.55558511793,1,fish,0.582292822508,2,4,1
58,True,3,1,7,fish,0.459429209433,3,fish,0.55558511793,3,tree,0.582292822508,2,6,1
59,True,3,2,8,fish,0.458449808891,3,fish,0.55558511793,2,tree,0.583120743093,3,5,3
60,True,3,3,9,fish,0.455614644575,3,fish,0.520858806459,3,tree,0.609323172057,3,6,2
61,True,3,2,10,fish,0.448246403707,3,tree,0.528898790702,3,fish,0.609323172057,1,4,3
62,True,3,3,11,fish,0.439863459114,1,tree,0.536645362542,1,tree,0.610295087048,1,1,2
63,True,3,1,12,tree,0.439863459114,3,fish,0.536645362542,2,fish,0.610295087048,2,4,3
64,True,3,2,13,fish,0.439863459114,1,fish,0.52952620084,3,tree,0.614349696122,3,4,2
65,True,3,3,14,fish,0.439003999338,3,fish,0.521490045491,3,tree,0.619723649706,3,6,1
66,True,3,1,15,fish,0.439003999338,3,tree,0.521490045491,1,fish,0.619723649706,2,5,1
67,True,3,1,16,fish,0.439003999338,1,tree,0.521490045491,3,fish,0.619723649706,1,2,3
68,True,3,2,17,fish,0.439003999338,3,fish,0.518657464408,1,tree,0.621338518911,1,4,1
69,True,3,3,18,fish,0.438346015414,1,fish,0.513962165379,1,tree,0.624580582434,1,2,1
70,True,3,1,19,fish,0.438346015414,3,tree,0.513962165379,2,fish,0.624580582434,3,6,2
71,True,3,3,20,fish,0.437771985531,2,fish,0.510287613699,2,tree,0.627158173697,2,4,2
72,True,3,2,21,fish,0.437771806437,3,tree,0.510287834434,2,tree,0.627158310436,1,3,3
73,True,3,3,22,fish,0.437258745391,3,fish,0.507264839501,3,tree,0.62930730258,3,6,3
74,True,3,1,23,tree,0.437258745391,2,fish,0.507264839501,3,fish,0.62930730258,3,6,2
75,True,3,2,24,fish,0.437190297281,1,fish,0.507264839501,2,tree,0.62935920109,1,3,1
76,True,4,3,1,fish,0.466666666667,3,tree,0.566666666667,3,fish,0.466666666667,3,6,2
77,True,4,1,2,fish,0.466666666667,2,fish,0.566666666667,3,tree,0.466666666667,1,5,1
78,True,4,2,3,fish,0.466666666667,3,tree,0.568681218154,2,fish,0.464368233204,2,5,1
79,True,4,3,4,fish,0.461673322577,3,tree,0.577296871084,3,fish,0.459661716036,3,6,3
80,True,4,2,5,fish,0.413690706145,1,fish,0.577296871084,2,tree,0.515499308847,1,3,1
81,True,4,1,6,tree,0.413690706145,2,fish,0.577296871084,3,fish,0.515499308847,1,4,2
82,True,4,1,7,tree,0.413690706145,2,fish,0.577296871084,1,fish,0.515499308847,3,4,2
83,True,4,2,8,fish,0.413690032283,3,tree,0.577297570375,1,tree,0.515500206456,2,3,3
84,True,4,3,9,fish,0.4092090135,2,tree,0.578275637139,2,tree,0.520122198277,2,2,3
85,True,4,3,10,fish,0.408274879265,1,tree,0.590580483248,1,tree,0.604285604051,1,1,1
86,True,4,2,11,fish,0.408184527009,2,tree,0.590671264034,2,fish,0.604285604051,1,3,2
87,True,4,1,12,tree,0.408184527009,1,fish,0.590671264034,2,fish,0.604285604051,3,5,1
88,True,4,1,13,fish,0.408184527009,3,fish,0.590671264034,3,tree,0.604285604051,2,6,1
89,True,4,2,14,fish,0.408094815129,2,tree,0.590761401278,2,fish,0.604285604051,3,5,2
90,True,4,3,15,fish,0.407612573089,2,fish,0.542672656494,2,tree,0.634486838484,2,4,2
91,True,4,2,16,fish,0.407612178117,1,fish,0.542671975357,1,tree,0.634487169162,2,2,2
92,True,4,3,17,fish,0.407387712465,2,fish,0.536582125204,2,tree,0.637735837077,2,4,1
93,True,4,1,18,tree,0.407387712465,1,fish,0.536582125204,2,fish,0.637735837077,2,4,1
94,True,4,3,19,fish,0.407192454852,3,fish,0.532063980072,3,tree,0.640171644428,3,6,1
95,True,4,2,20,fish,0.407179363223,1,tree,0.532063980072,2,tree,0.640182357573,1,1,3
96,True,4,1,21,tree,0.407179363223,3,fish,0.532063980072,1,fish,0.640182357573,1,2,3
97,False,4,2,22,tree,0.438660317209,1,tree,0.605657255449,2,tree,0.655247219968,1,0,2
98,True,4,2,22,fish,0.40728768044,1,tree,0.633240120478,2,fish,0.60259893501,1,2,2
99,True,4,3,23,fish,0.406960136359,1,tree,0.633336242506,1,tree,0.602803660665,1,1,2
100,True,4,1,24,fish,0.406960136359,3,fish,0.633336242506,3,tree,0.602803660665,2,6,2
101,True,5,2,1,tree,0.55,1,tree,0.55,3,fish,0.45,2,2,3
102,True,5,1,2,fish,0.55,2,fish,0.55,2,tree,0.45,3,4,3
103,True,5,3,3,tree,0.597280491935,1,fish,0.497280491935,1,tree,0.546216329645,1,1,1
104,True,5,1,4,tree,0.597280491935,3,fish,0.497280491935,1,fish,0.546216329645,1,2,3
105,True,5,2,5,fish,0.597280491935,1,fish,0.482817203561,2,tree,0.558651524143,2,3,2
106,True,5,3,6,tree,0.617938723503,2,fish,0.478817845895,2,fish,0.530557459081,2,4,2
107,True,5,2,7,tree,0.618317910398,3,fish,0.478255443655,3,fish,0.530557459081,2,5,3
108,True,5,1,8,tree,0.618317910398,1,fish,0.478255443655,3,tree,0.530557459081,1,3,2
109,True,5,3,9,tree,0.624368458066,3,fish,0.476115797463,3,fish,0.52258698427,3,6,1
110,False,5,3,10,tree,0.625610277963,1,fish,0.455593606751,1,fish,0.441253650416,1,0,2
111,True,5,3,10,tree,0.626137143251,1,tree,0.498686799678,1,fish,0.407076721525,1,1,2
112,True,5,1,11,fish,0.626137143251,3,fish,0.498686799678,3,tree,0.407076721525,1,6,1
113,True,5,2,12,tree,0.631690679878,2,fish,0.489764592243,3,tree,0.419621148068,1,3,3
114,True,5,1,13,fish,0.631690679878,1,tree,0.489764592243,3,fish,0.419621148068,1,2,3
115,True,5,3,14,tree,0.632681309162,3,fish,0.488462595785,3,fish,0.419381316298,3,6,2
116,True,5,2,15,tree,0.632681309162,1,tree,0.496288463875,2,fish,0.413849340292,2,2,3
117,True,5,3,16,tree,0.633751259533,2,fish,0.494775108175,2,fish,0.413642193708,2,4,1
118,True,5,2,17,tree,0.634094334045,1,fish,0.494195118089,1,fish,0.413642193708,2,3,1
119,True,5,1,18,tree,0.634094334045,2,fish,0.494195118089,3,fish,0.413642193708,3,6,1
120,True,5,2,19,tree,0.634112044706,1,fish,0.494195118089,3,fish,0.413620543378,1,4,1
121,True,5,3,20,tree,0.634344937763,2,tree,0.502003460729,2,fish,0.407807434198,2,2,3
122,True,5,1,21,fish,0.634344937763,1,fish,0.502003460729,1,tree,0.407807434198,3,2,3
123,True,5,3,22,tree,0.635460065393,3,fish,0.500323067193,3,fish,0.407634025702,3,6,3
124,True,5,2,23,tree,0.635849045058,3,fish,0.499646090345,3,fish,0.407634025702,1,4,3
125,True,5,1,24,tree,0.635849045058,1,fish,0.499646090345,3,fish,0.407634025702,3,6,1
126,False,6,3,1,tree,0.533333333333,2,fish,0.433333333333,2,fish,0.433333333333,2,0,3
127,False,6,3,1,fish,0.437359573431,2,fish,0.387739326001,2,fish,0.387739326001,2,0,3
128,True,6,3,1,tree,0.453105870048,2,fish,0.342766114876,2,tree,0.442766114876,2,2,3
129,True,6,1,2,fish,0.453105870048,2,fish,0.342766114876,2,tree,0.442766114876,1,4,1
130,True,6,2,3,fish,0.453105870048,3,fish,0.341600763619,1,tree,0.445532726838,1,4,1
131,True,6,1,4,fish,0.453105870048,3,tree,0.341600763619,2,fish,0.445532726838,1,4,2
132,True,6,2,5,fish,0.453105870048,3,fish,0.340598716561,2,tree,0.447903065914,2,5,1
133,False,6,3,6,fish,0.405822856501,3,fish,0.338847088602,3,fish,0.408316328236,3,0,3
134,True,6,3,6,fish,0.370598572574,3,fish,0.334533644988,3,tree,0.469794022893,3,6,3
135,True,6,1,7,fish,0.370598572574,2,fish,0.334533644988,3,tree,0.469794022893,1,5,1
136,True,6,3,8,fish,0.36743010098,3,fish,0.333374494903,3,tree,0.478226684997,3,6,1
137,True,6,2,9,fish,0.36743010098,1,fish,0.333160596752,3,tree,0.478692172771,3,4,2
138,True,6,1,10,fish,0.36743010098,1,fish,0.333160596752,1,tree,0.478692172771,3,2,3
139,True,6,2,11,fish,0.36743010098,2,fish,0.33295226315,3,tree,0.479145173356,3,5,3
140,True,6,3,12,fish,0.365244698143,2,fish,0.332107103199,2,tree,0.484969443991,2,4,2
141,True,6,1,13,tree,0.365244698143,1,fish,0.332107103199,3,tree,0.484969443991,1,3,2
142,True,6,2,14,tree,0.365244698143,2,fish,0.331948580313,1,tree,0.48530739835,1,1,3
143,False,6,3,15,fish,0.3017648897,1,fish,0.316731811996,1,tree,0.487071474384,1,0,2
