,is_max,iteration,n_solutions,num,p1_action,p1_prior,p1_strength,p2_action,p2_prior,p2_strength,p3_action,p3_prior,p3_strength,payoff,trees
0,True,1,1,1,fish,0.5,3,fish,0.5,3,tree,0.5,1,6,1
1,False,1,2,2,fish,0.475,2,fish,0.475,2,fish,0.5,3,0,1
2,True,1,2,2,tree,0.50125,2,tree,0.50125,2,fish,0.5,3,3,1
3,True,1,3,3,fish,0.48435489987,3,tree,0.53435489987,3,fish,0.48367842873,3,6,2
4,True,1,3,4,tree,0.525939884831,2,fish,0.500405489205,2,fish,0.475415122077,2,4,1
5,True,1,1,5,fish,0.525939884831,3,tree,0.500405489205,2,fish,0.475415122077,1,4,2
6,True,1,2,6,tree,0.532309038997,1,fish,0.500405489205,3,fish,0.469015705997,1,4,1
7,True,1,1,7,tree,0.532309038997,1,fish,0.500405489205,3,fish,0.469015705997,2,5,1
8,True,1,3,8,fish,0.500152797321,3,tree,0.537309604844,3,fish,0.463391026613,3,6,3
9,True,1,2,9,fish,0.500152797321,2,tree,0.540134356034,3,fish,0.460558755795,3,5,3
10,True,1,2,10,fish,0.500152797321,2,tree,0.54243511515,1,fish,0.458251864921,1,3,1
11,True,1,3,11,tree,0.511230652933,1,tree,0.546028156928,1,fish,0.444681879313,1,1,2
12,True,1,1,12,tree,0.511230652933,1,fish,0.546028156928,2,fish,0.444681879313,3,5,1
13,True,1,2,13,fish,0.499766966074,2,tree,0.555590086326,2,fish,0.444681879313,1,3,2
14,True,1,3,14,tree,0.541509680415,3,tree,0.564512217161,3,fish,0.442730174468,3,3,1
15,True,1,1,15,fish,0.541509680415,1,tree,0.564512217161,2,fish,0.442730174468,3,4,2
16,True,1,2,16,fish,0.541176424236,1,tree,0.564730394626,2,fish,0.442505515218,1,2,2
17,True,1,3,17,tree,0.543717036197,2,tree,0.566114350849,2,fish,0.438659520862,2,2,3
18,True,1,1,18,fish,0.543717036197,2,fish,0.566114350849,2,tree,0.438659520862,3,4,3
19,True,1,1,19,tree,0.543717036197,1,fish,0.566114350849,2,fish,0.438659520862,2,4,1
20,True,1,2,20,tree,0.54464087146,3,fish,0.566114350849,2,fish,0.437798156499,3,5,3
21,True,1,3,21,fish,0.525709035385,1,tree,0.581521575847,1,fish,0.436621440135,1,2,1
22,True,1,1,22,tree,0.525709035385,3,fish,0.581521575847,2,fish,0.436621440135,2,4,3
23,True,1,2,23,tree,0.527448164929,3,fish,0.581521575847,1,fish,0.435120124283,3,4,2
24,True,1,3,24,fish,0.518340796491,2,tree,0.58867933871,2,fish,0.434265481738,2,4,2
25,True,2,1,1,fish,0.5,3,tree,0.5,2,fish,0.5,3,6,2
26,True,2,2,2,fish,0.475,1,tree,0.5,2,tree,0.525,1,1,3
27,True,2,3,3,fish,0.467715477884,3,fish,0.485648913574,3,tree,0.546052261133,3,6,2
28,True,2,2,4,fish,0.467715477884,3,fish,0.480824181875,2,tree,0.550349809851,2,5,1
29,True,2,1,5,fish,0.467715477884,2,tree,0.480824181875,1,fish,0.550349809851,3,5,1
30,True,2,3,6,fish,0.463664182761,2,fish,0.475099769208,2,tree,0.559434671626,2,4,1
31,False,2,2,7,fish,0.445473491316,2,fish,0.446212001563,2,fish,0.559434671626,3,0,2
32,True,2,2,7,tree,0.473531585772,2,tree,0.47356855664,2,fish,0.559434671626,3,3,2
33,True,2,1,8,tree,0.473531585772,1,fish,0.47356855664,3,tree,0.559434671626,1,3,2
34,True,2,3,9,fish,0.448326947253,2,tree,0.498337688251,2,tree,0.561891654867,2,2,3
35,True,2,1,10,tree,0.448326947253,1,tree,0.498337688251,1,fish,0.561891654867,3,3,2
36,False,2,3,11,fish,0.446456740481,3,fish,0.491462038369,3,fish,0.51936527602,3,0,1
37,True,2,3,11,fish,0.442328235553,3,fish,0.477426704895,3,tree,0.537855536903,3,6,1
38,True,2,2,12,fish,0.442328235553,2,fish,0.472740371799,3,tree,0.542287692943,3,5,3
39,False,2,2,13,tree,0.442328235553,2,tree,0.51933924573,1,tree,0.545502260965,1,0,3
40,True,2,2,13,tree,0.442328235553,2,fish,0.504562691297,1,tree,0.55772342571,1,1,3
41,True,2,3,14,fish,0.440582264439,1,tree,0.545681297666,1,fish,0.516801975312,1,2,1
42,True,2,1,15,fish,0.440582264439,3,fish,0.545681297666,3,tree,0.516801975312,2,6,2
43,True,2,2,16,fish,0.439715154781,2,tree,0.546597042924,2,fish,0.516801975312,3,5,1
44,True,2,1,17,tree,0.439715154781,1,fish,0.546597042924,2,fish,0.516801975312,2,4,1
45,True,2,3,18,fish,0.437758776464,3,tree,0.561367276768,3,fish,0.50178464626,3,6,3
46,True,2,1,19,fish,0.437758776464,2,fish,0.561367276768,3,tree,0.50178464626,1,5,1
47,True,2,3,20,fish,0.430790310921,1,tree,0.562803346059,1,tree,0.50852850165,1,1,2
48,True,2,2,21,fish,0.430790310921,2,tree,0.56770879043,1,fish,0.502200658728,1,3,1
49,True,2,1,22,fish,0.430790310921,3,tree,0.56770879043,2,fish,0.502200658728,1,4,2
50,True,2,2,23,fish,0.430526395305,2,tree,0.567974317109,2,tree,0.502200658728,1,2,3
51,True,2,3,24,fish,0.429509188963,2,tree,0.574090739974,2,fish,0.495744990242,2,4,2
52,True,3,1,1,fish,0.5,3,fish,0.5,3,tree,0.5,2,6,1
53,True,3,2,2,fish,0.475,1,tree,0.525,1,tree,0.5,2,1,3
54,False,3,3,3,tree,0.503947738867,2,tree,0.532284522116,2,tree,0.514351086426,2,0,3
55,False,3,3,3,tree,0.525895557756,2,tree,0.542151374639,2,tree,0.530640625235,2,0,3
56,False,3,3,3,fish,0.494269115297,2,fish,0.503638909636,2,tree,0.546632646432,2,0,3
57,True,3,3,3,tree,0.518870475753,2,fish,0.472407881759,2,tree,0.552358735997,2,2,3
58,True,3,1,4,fish,0.518870475753,3,tree,0.472407881759,2,fish,0.552358735997,3,6,1
59,True,3,3,5,fish,0.505107483869,3,fish,0.468383056702,3,tree,0.567526441849,3,6,3
60,True,3,2,6,fish,0.499013501746,2,tree,0.475068573491,1,tree,0.572221326322,1,2,2
61,True,3,1,7,fish,0.499013501746,3,tree,0.475068573491,2,fish,0.572221326322,3,6,2
62,True,3,2,8,fish,0.499013501746,2,fish,0.473759743309,3,tree,0.573307418816,3,5,3
63,True,3,3,9,fish,0.493600434452,3,fish,0.470946630311,3,tree,0.579951735173,3,6,1
